Symbol,Company,Sector,Sub Sector
20MICRONS,20 Microns Limited,Mining,Mining/Minerals
3IINFOTECH,3i Infotech Limited,Computers,Computers - Software
3MINDIA,3M India Limited,Diversified,Diversified
63MOONS,63 moons technologies limited,,
8KMILES,8K Miles Software Services Limited,Computers,Computers - Software
A2ZINFRA,A2Z Infra Engineering Limited,Engineering,Engineering - General
AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Pharmaceuticals
AARTIIND,Aarti Industries Limited,Chemicals,Chemicals - Organic - Others
AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Textiles - Denim
ABAN,Aban Offshore Limited,Oil Drilling,Oil Drilling And Exploration
ABB,ABB India Limited,Electric,Electric Equipment - Switchgear/Circuit Breaker
ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Pharmaceuticals
ABFRL,Aditya Birla Fashion and Retail Limited,Textiles,Products
ABIRLANUVO,,Textiles,Textiles - Manmade Fibre - Rayon
ACC,ACC Limited,Cement,Cement - Major
ACCELYA,Accelya Solutions India Limited,Computers,Software - Medium / Small
ACE,Action Construction Equipment Limited,Engineering,Engineering - Heavy
ADANIENT,Adani Enterprises Limited,Trading,Trading
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Misc,Miscellaneous
ADANIPOWER,Adani Power Limited,Power,Power - Generation/Distribution
ADANITRANS,Adani Transmission Limited,Power,Power - Generation/Distribution
ADFFOODS,ADF Foods Limited,Food Processing,Food Processing - Dairy
ADHUNIK,,Steel,Steel - Sponge Iron
ADHUNIKIND,Adhunik Industries Limited,,
ADLABS,,Recreation / Amusement Parks,Recreation / Amusement Parks
ADORWELD,Ador Welding Limited,Misc,Welding Equipment - Electrodes
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,Hotels
ADVENZYMES,Advanced Enzyme Technologies Limited,,
AEGISCHEM,Aegis Logistics Limited,Misc,Miscellaneous
AGCNET,AGC Networks Limited,Telecom,Telecommunications - Equipment
AGRITECH,Agri-Tech (India) Limited,Misc,Miscellaneous
AHLEAST,Asian Hotels (East) Limited,Hotels,Hotels
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Construction & Contracting - Civil
AHLWEST,Asian Hotels (West) Limited,Hotels,Hotels
AIAENG,AIA Engineering Limited,Engineering,Engineering - Heavy
AIFL,,Textiles,Products
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals
AJMERA,Ajmera Realty & Infra India Limited,Construction,Construction and Contracting - Real Estate
AKSHARCHEM,AksharChem India Limited,,
AKSHOPTFBR,Aksh Optifibre Limited,Cables,Cables - Telephone
