20MICRONS , Basic Materials , Other Industrial Metals & Mining
21STCENMGM ,  , 
3IINFOTECH , Technology , Information Technology Services
3MINDIA , Industrials , Conglomerates
3PLAND ,  , 
5PAISA , Financial Services , Capital Markets
63MOONS ,  , 
8KMILES , Technology , Software—Application
A2ZINFRA , Industrials , Engineering & Construction
AARTIDRUGS , Healthcare , Drug Manufacturers—Specialty & Generic
AARTIIND , Basic Materials , Specialty Chemicals
AARVEEDEN , Consumer Cyclical , Textile Manufacturing
AAVAS , Financial Services , Mortgage Finance
ABAN , Energy , Oil & Gas Drilling
ABB , Industrials , Specialty Industrial Machinery
ABBOTINDIA , Healthcare , Drug Manufacturers—General
ABCAPITAL , Financial Services , Financial Conglomerates
ABFRL , Consumer Cyclical , Apparel Manufacturing
ABMINTLTD , Basic Materials , Specialty Chemicals
ACC , Basic Materials , Building Materials
ACCELYA , Technology , Information Technology Services
ACE , Industrials , Farm & Heavy Construction Machinery
ADANIENT , Energy , Thermal Coal
ADANIGAS , Utilities , Utilities—Regulated Gas
ADANIGREEN , Utilities , Utilities—Renewable
ADANIPORTS , Industrials , Marine Shipping
ADANIPOWER , Utilities , Utilities—Independent Power Producers
ADANITRANS , Utilities , Utilities—Regulated Electric
ADFFOODS , Consumer Defensive , Packaged Foods
ADHUNIKIND , Basic Materials , Steel
ADORWELD , Industrials , Specialty Industrial Machinery
ADROITINFO , Technology , Information Technology Services
ADSL , Technology , Information Technology Services
ADVANIHOTR , Consumer Cyclical , Lodging
ADVENZYMES , Basic Materials , Specialty Chemicals
AEGISCHEM , Energy , Oil & Gas Midstream
AFFLE , Communication Services , Advertising Agencies
AGARIND , Basic Materials , Specialty Chemicals
AGCNET , Technology , Software—Application
AGRITECH , Consumer Defensive , Farm Products
AGROPHOS , Basic Materials , Agricultural Inputs
AHLEAST , Consumer Cyclical , Lodging
AHLUCONT , Industrials , Engineering & Construction
AHLWEST , Consumer Cyclical , Lodging
AIAENG , Industrials , Specialty Industrial Machinery
AIONJSW , Basic Materials , Steel
AIRAN , Technology , Information Technology Services
AJANTPHARM , Healthcare , Drug Manufacturers—Specialty & Generic
AJMERA , Real Estate , Real Estate—Development
AKASH , Industrials , Engineering & Construction
AKSHARCHEM , Basic Materials , Specialty Chemicals
AKSHOPTFBR , Technology , Communication Equipment
AKZOINDIA , Basic Materials , Specialty Chemicals
ALANKIT , Technology , Information Technology Services
ALBERTDAVD , Healthcare , Drug Manufacturers—Specialty & Generic
ALCHEM , Industrials , Conglomerates
ALEMBICLTD , Industrials , Conglomerates
ALICON , Industrials , Metal Fabrication
ALKALI , Basic Materials , Specialty Chemicals
ALKEM , Healthcare , Drug Manufacturers—Specialty & Generic
ALKYLAMINE , Basic Materials , Specialty Chemicals
ALLCARGO , Industrials , Integrated Freight & Logistics
ALLSEC , Industrials , Specialty Business Services
ALMONDZ , Financial Services , Capital Markets
ALOKINDS , Consumer Cyclical , Textile Manufacturing
ALPA , Healthcare , Drug Manufacturers—Specialty & Generic
ALPHAGEO , Energy , Oil & Gas Equipment & Services
ALPSINDUS , Consumer Cyclical , Textile Manufacturing
AMARAJABAT , Consumer Cyclical , Auto Parts
AMBER , Technology , Consumer Electronics
AMBIKCO , Consumer Cyclical , Textile Manufacturing
AMBUJACEM , Basic Materials , Building Materials
AMDIND , Consumer Cyclical , Packaging & Containers
AMJLAND , Real Estate , Real Estate—Development
AMRUTANJAN , Healthcare , Drug Manufacturers—Specialty & Generic
ANANTRAJ , Real Estate , Real Estate—Development
ANDHRACEMT , Basic Materials , Building Materials
ANDHRAPAP , Basic Materials , Paper & Paper Products
ANDHRSUGAR , Basic Materials , Chemicals
ANIKINDS , Consumer Defensive , Food Distribution
ANKITMETAL , Basic Materials , Steel
ANSALAPI , Real Estate , Real Estate—Development
ANSALHSG , Real Estate , Real Estate—Development
ANUP , Industrials , Specialty Industrial Machinery
APARINDS , Industrials , Electrical Equipment & Parts
APCL , Basic Materials , Building Materials
APCOTEXIND , Basic Materials , Specialty Chemicals
APEX , Consumer Defensive , Farm Products
APLAPOLLO , Basic Materials , Steel
APLLTD , Healthcare , Drug Manufacturers—Specialty & Generic
