PAGEIND,Consumer Cyclical,Apparel Manufacturing
PAISALO,Financial Services,Credit Services
PALASHSECU,Consumer Defensive,Packaged Foods
PALREDTEC,Technology,Information Technology Services
PANACEABIO,Healthcare,Biotechnology
PANACHE,Technology,Communication Equipment
PANAMAPET,Energy,Oil & Gas Refining & Marketing
PAPERPROD,Consumer Cyclical,Packaging & Containers
PARABDRUGS,Healthcare,Drug Manufacturers—Specialty & Generic
PARACABLES,Technology,Communication Equipment
PARAGMILK,Consumer Defensive,Packaged Foods
PARSVNATH,Real Estate,Real Estate—Diversified
PATELENG,Industrials,Engineering & Construction
PATINTLOG,Industrials,Integrated Freight & Logistics
PATSPINLTD,Consumer Cyclical,Textile Manufacturing
PCJEWELLER,Consumer Cyclical,Luxury Goods
PDMJEPAPER,Basic Materials,Paper & Paper Products
PDSMFL,Industrials,Specialty Business Services
PEARLPOLY,Consumer Cyclical,Packaging & Containers
PEL,Healthcare,Drug Manufacturers—General
PENIND,Industrials,Specialty Industrial Machinery
PENINLAND,Real Estate,Real Estate—Development
PERSISTENT,Technology,Software—Infrastructure
PETRONET,Energy,Oil & Gas Refining & Marketing
PFC,Financial Services,Credit Services
PFIZER,Healthcare,Drug Manufacturers—General
PFOCUS,Communication Services,Entertainment
PFS,Financial Services,Credit Services
PGEL,Technology,Electronic Components
PGHH,Consumer Defensive,Household & Personal Products
PGHL,Healthcare,Drug Manufacturers—Specialty & Generic
PGIL,Consumer Cyclical,Apparel Manufacturing
PHILIPCARB,Basic Materials,Specialty Chemicals
PHOENIXLTD,Real Estate,Real Estate—Diversified
PIDILITIND,Basic Materials,Specialty Chemicals
PIIND,Basic Materials,Agricultural Inputs
PILANIINVS,Financial Services,Asset Management
PILITA,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
PIONDIST,Consumer Defensive,Beverages—Wineries & Distilleries
PIONEEREMB,Consumer Cyclical,Textile Manufacturing
PITTIENG,Industrials,Metal Fabrication
PKTEA,Consumer Defensive,Farm Products
PLASTIBLEN,Basic Materials,Specialty Chemicals
PNB,Financial Services,Banks—Regional
PNBGILTS,Financial Services,Capital Markets
PNBHOUSING,Financial Services,Mortgage Finance
PNC,Communication Services,Entertainment
PNCINFRA,Industrials,Engineering & Construction
PODDARHOUS,Real Estate,Real Estate—Diversified
PODDARMENT,Basic Materials,Specialty Chemicals
POKARNA,Industrials,Building Products & Equipment
POLYCAB,Industrials,Electrical Equipment & Parts
POLYMED,Healthcare,Medical Instruments & Supplies
POLYPLEX,Basic Materials,Specialty Chemicals
PONNIERODE,Consumer Defensive,Confectioners
POWERGRID,Utilities,Utilities—Regulated Electric
POWERINDIA,Technology,Electronic Components
POWERMECH,Industrials,Engineering & Construction
PPAP,Consumer Cyclical,Auto Parts
PPL,Consumer Cyclical,Auto Parts
PRABHAT,Consumer Defensive,Packaged Foods
PRADIP,Consumer Cyclical,Textile Manufacturing
PRAENG,Real Estate,Real Estate—Development
PRAJIND,Industrials,Engineering & Construction
PRAKASH,Basic Materials,Steel
PRAKASHSTL,Basic Materials,Steel
PRAXIS,Consumer Cyclical,Specialty Retail
PRECAM,Consumer Cyclical,Auto Parts
PRECOT,Consumer Cyclical,Textile Manufacturing
PRECWIRE,Basic Materials,Copper
PREMEXPLN,Basic Materials,Specialty Chemicals
PREMIER,Industrials,Specialty Industrial Machinery
PREMIERPOL,Basic Materials,Specialty Chemicals
PRESSMN,Communication Services,Advertising Agencies
PRESTIGE,Real Estate,Real Estate—Diversified
PRICOLLTD,Consumer Cyclical,Auto Parts
PRIMESECU,Financial Services,Capital Markets
PRINCEPIPE,Basic Materials,Specialty Chemicals
PROSEED,Basic Materials,Agricultural Inputs
PROZONINTU,Real Estate,Real Estate—Diversified
PRSMJOHNSN,Basic Materials,Building Materials
PSB,Financial Services,Banks—Regional
PSL,Industrials,Metal Fabrication
PSPPROJECT,Industrials,Engineering & Construction
PTC,Utilities,Utilities—Independent Power Producers
