Symbol, Sector, Sub-sector,Company
20MICRONS, Basic Materials , Other Industrial Metals & Mining,20 Microns Limited
21STCENMGM,  , ,21st Century Management Services Limited
3IINFOTECH, Technology , Information Technology Services,3i Infotech Limited
3MINDIA, Industrials , Conglomerates,3M India Limited
3PLAND,  , ,3P Land Holdings Limited
5PAISA, Financial Services , Capital Markets,5Paisa Capital Limited
63MOONS,  , ,63 moons technologies limited
8KMILES, Technology , Software-Application,8K Miles Software Services Limited
A2ZINFRA, Industrials , Engineering & Construction,A2Z Infra Engineering Limited
AARTIDRUGS, Healthcare , Drug Manufacturers-Specialty & Generic,Aarti Drugs Limited
AARTIIND, Basic Materials , Specialty Chemicals,Aarti Industries Limited
AARVEEDEN, Consumer Cyclical , Textile Manufacturing,Aarvee Denims & Exports Limited
AAVAS, Financial Services , Mortgage Finance,Aavas Financiers Limited
ABAN, Energy , Oil & Gas Drilling,Aban Offshore Limited
ABB, Industrials , Specialty Industrial Machinery,ABB India Limited
ABBOTINDIA, Healthcare , Drug Manufacturers-General,Abbott India Limited
ABCAPITAL, Financial Services , Financial Conglomerates,Aditya Birla Capital Limited
ABFRL, Consumer Cyclical , Apparel Manufacturing,Aditya Birla Fashion and Retail Limited
ABMINTLTD, Basic Materials , Specialty Chemicals,ABM International Limited
ACC, Basic Materials , Building Materials,ACC Limited
ACCELYA, Technology , Information Technology Services,Accelya Solutions India Limited
ACE, Industrials , Farm & Heavy Construction Machinery,Action Construction Equipment Limited
ADANIENT, Energy , Thermal Coal,Adani Enterprises Limited
ADANIGAS, Utilities , Utilities-Regulated Gas,Adani Gas Limited
ADANIGREEN, Utilities , Utilities-Renewable,Adani Green Energy Limited
ADANIPORTS, Industrials , Marine Shipping,Adani Ports and Special Economic Zone Limited
ADANIPOWER, Utilities , Utilities-Independent Power Producers,Adani Power Limited
ADANITRANS, Utilities , Utilities-Regulated Electric,Adani Transmission Limited
ADFFOODS, Consumer Defensive , Packaged Foods,ADF Foods Limited
ADHUNIKIND, Basic Materials , Steel,Adhunik Industries Limited
ADORWELD, Industrials , Specialty Industrial Machinery,Ador Welding Limited
ADROITINFO, Technology , Information Technology Services,Adroit Infotech Limited
ADSL, Technology , Information Technology Services,Allied Digital Services Limited
ADVANIHOTR, Consumer Cyclical , Lodging,Advani Hotels & Resorts (India) Limited
ADVENZYMES, Basic Materials , Specialty Chemicals,Advanced Enzyme Technologies Limited
AEGISCHEM, Energy , Oil & Gas Midstream,Aegis Logistics Limited
AFFLE, Communication Services , Advertising Agencies,Affle (India) Limited
AGARIND, Basic Materials , Specialty Chemicals,Agarwal Industrial Corporation Limited
AGCNET, Technology , Software-Application,AGC Networks Limited
AGRITECH, Consumer Defensive , Farm Products,Agri-Tech (India) Limited
AGROPHOS, Basic Materials , Agricultural Inputs,Agro Phos India Limited
AHLEAST, Consumer Cyclical , Lodging,Asian Hotels (East) Limited
AHLUCONT, Industrials , Engineering & Construction,Ahluwalia Contracts (India) Limited
AHLWEST, Consumer Cyclical , Lodging,Asian Hotels (West) Limited
AIAENG, Industrials , Specialty Industrial Machinery,AIA Engineering Limited
AIONJSW, Basic Materials , Steel,Monnet Ispat & Energy Limited
AIRAN, Technology , Information Technology Services,Airan Limited
AJANTPHARM, Healthcare , Drug Manufacturers-Specialty & Generic,Ajanta Pharma Limited
AJMERA, Real Estate , Real Estate-Development,Ajmera Realty & Infra India Limited
AKASH, Industrials , Engineering & Construction,Akash Infra-Projects Limited
AKSHARCHEM, Basic Materials , Specialty Chemicals,AksharChem India Limited
AKSHOPTFBR, Technology , Communication Equipment,Aksh Optifibre Limited
AKZOINDIA, Basic Materials , Specialty Chemicals,Akzo Nobel India Limited
ALANKIT, Technology , Information Technology Services,Alankit Limited
ALBERTDAVD, Healthcare , Drug Manufacturers-Specialty & Generic,Albert David Limited
ALCHEM, Industrials , Conglomerates,Alchemist Limited
ALEMBICLTD, Industrials , Conglomerates,Alembic Limited
ALICON, Industrials , Metal Fabrication,Alicon Castalloy Limited
ALKALI, Basic Materials , Specialty Chemicals,Alkali Metals Limited
ALKEM, Healthcare , Drug Manufacturers-Specialty & Generic,Alkem Laboratories Limited
ALKYLAMINE, Basic Materials , Specialty Chemicals,Alkyl Amines Chemicals Limited
ALLCARGO, Industrials , Integrated Freight & Logistics,Allcargo Logistics Limited
ALLSEC, Industrials , Specialty Business Services,Allsec Technologies Limited
ALMONDZ, Financial Services , Capital Markets,Almondz Global Securities Limited
ALOKINDS, Consumer Cyclical , Textile Manufacturing,Alok Industries Limited
ALPA, Healthcare , Drug Manufacturers-Specialty & Generic,Alpa Laboratories Limited
ALPHAGEO, Energy , Oil & Gas Equipment & Services,Alphageo (India) Limited
ALPSINDUS, Consumer Cyclical , Textile Manufacturing,Alps Industries Limited
AMARAJABAT, Consumer Cyclical , Auto Parts,Amara Raja Batteries Limited
AMBER, Technology , Consumer Electronics,Amber Enterprises India Limited
AMBIKCO, Consumer Cyclical , Textile Manufacturing,Ambika Cotton Mills Limited
AMBUJACEM, Basic Materials , Building Materials,Ambuja Cements Limited
AMDIND, Consumer Cyclical , Packaging & Containers,AMD Industries Limited
AMJLAND, Real Estate , Real Estate-Development,Amj Land Holdings Limited
AMRUTANJAN, Healthcare , Drug Manufacturers-Specialty & Generic,Amrutanjan Health Care Limited
ANANTRAJ, Real Estate , Real Estate-Development,Anant Raj Limited
ANDHRACEMT, Basic Materials , Building Materials,Andhra Cements Limited
ANDHRAPAP, Basic Materials , Paper & Paper Products,ANDHRA PAPER LIMITED
ANDHRSUGAR, Basic Materials , Chemicals,The Andhra Sugars Limited
ANIKINDS, Consumer Defensive , Food Distribution,Anik Industries Limited
ANKITMETAL, Basic Materials , Steel,Ankit Metal & Power Limited
ANSALAPI, Real Estate , Real Estate-Development,Ansal Properties & Infrastructure Limited
ANSALHSG, Real Estate , Real Estate-Development,Ansal Housing Limited
ANUP, Industrials , Specialty Industrial Machinery,The Anup Engineering Limited
APARINDS, Industrials , Electrical Equipment & Parts,Apar Industries Limited
APCL, Basic Materials , Building Materials,Anjani Portland Cement Limited
APCOTEXIND, Basic Materials , Specialty Chemicals,Apcotex Industries Limited
APEX, Consumer Defensive , Farm Products,Apex Frozen Foods Limited
APLAPOLLO, Basic Materials , Steel,APL Apollo Tubes Limited
APLLTD, Healthcare , Drug Manufacturers-Specialty & Generic,Alembic Pharmaceuticals Limited
APOLLO, Industrials , Aerospace & Defense,Apollo Micro Systems Limited
APOLLOHOSP, Healthcare , Medical Care Facilities,Apollo Hospitals Enterprise Limited
APOLLOPIPE, Industrials , Building Products & Equipment,Apollo Pipes Limited
APOLLOTYRE, Consumer Cyclical , Auto Parts,Apollo Tyres Limited
APOLSINHOT, Consumer Cyclical , Lodging,Apollo Sindoori Hotels Limited
APTECHT, Consumer Defensive , Education & Training Services,Aptech Limited
ARCHIDPLY, Basic Materials , Lumber & Wood Production,Archidply Industries Limited
ARCHIES, Consumer Cyclical , Specialty Retail,Archies Limited
ARCOTECH, Industrials , Metal Fabrication,Arcotech Limited
ARENTERP, Basic Materials , Other Industrial Metals & Mining,Rajdarshan Industries Limited
ARIES, Basic Materials , Agricultural Inputs,Aries Agro Limited
ARIHANT, Real Estate , Real Estate-Development,Arihant Foundations & Housing Limited
ARIHANTSUP, Real Estate , Real Estate-Development,Arihant Superstructures Limited
ARMANFIN, Financial Services , Credit Services,Arman Financial Services Limited
AROGRANITE, Industrials , Building Products & Equipment,Aro Granite Industries Limited
ARROWGREEN, Consumer Cyclical , Packaging & Containers,Arrow Greentech Limited
ARSHIYA, Industrials , Integrated Freight & Logistics,Arshiya Limited
ARSSINFRA, Industrials , Infrastructure Operations,ARSS Infrastructure Projects Limited
ARTEMISMED,  , ,Artemis Medicare Services Limited
ARVIND, Consumer Cyclical , Textile Manufacturing,Arvind Limited
ARVINDFASN, Consumer Cyclical , Apparel Manufacturing,Arvind Fashions Limited
ARVSMART, Real Estate , Real Estate-Development,Arvind SmartSpaces Limited
ASAHIINDIA, Consumer Cyclical , Auto Parts,Asahi India Glass Limited
ASAHISONG, Basic Materials , Specialty Chemicals,Asahi Songwon Colors Limited
ASAL, Consumer Cyclical , Auto Parts,Automotive Stampings and Assemblies Limited
ASALCBR, Consumer Defensive , Beverages-Wineries & Distilleries,Associated Alcohols & Breweries Ltd.
ASHAPURMIN, Basic Materials , Other Industrial Metals & Mining,Ashapura Minechem Limited
ASHIANA, Real Estate , Real Estate-Development,Ashiana Housing Limited
ASHIMASYN, Consumer Cyclical , Textile Manufacturing,Ashima Limited
ASHOKA, Industrials , Engineering & Construction,Ashoka Buildcon Limited
ASHOKLEY, Consumer Cyclical , Auto Manufacturers,Ashok Leyland Limited
ASIANHOTNR, Consumer Cyclical , Lodging,Asian Hotels (North) Limited
ASIANPAINT, Basic Materials , Specialty Chemicals,Asian Paints Limited
