Symbol, Sector, Sub-sector,Company,beta
20MICRONS, Basic Materials , Other Industrial Metals & Mining,20 Microns Limited,0.7839309999999999
3IINFOTECH, Technology , Information Technology Services,3i Infotech Limited,1.167706
3MINDIA, Industrials , Conglomerates,3M India Limited,0.389235
8KMILES, Technology , Software-Application,8K Miles Software Services Limited,1.102964
A2ZINFRA, Industrials , Engineering & Construction,A2Z Infra Engineering Limited,0.549921
AARTIDRUGS, Healthcare , Drug Manufacturers-Specialty & Generic,Aarti Drugs Limited,0.6735559999999999
AARTIIND, Basic Materials , Specialty Chemicals,Aarti Industries Limited,0.546021
AARVEEDEN, Consumer Cyclical , Textile Manufacturing,Aarvee Denims & Exports Limited,0.48361899999999997
ABAN, Energy , Oil & Gas Drilling,Aban Offshore Limited,1.333073
ABB, Industrials , Specialty Industrial Machinery,ABB India Limited,0.927847
ABBOTINDIA, Healthcare , Drug Manufacturers-General,Abbott India Limited,-0.02145
ABCAPITAL, Financial Services , Financial Conglomerates,Aditya Birla Capital Limited,0.911945
ABFRL, Consumer Cyclical , Apparel Manufacturing,Aditya Birla Fashion and Retail Limited,0.25468
ABMINTLTD, Basic Materials , Specialty Chemicals,ABM International Limited,0.948661
ACC, Basic Materials , Building Materials,ACC Limited,0.864664
ACCELYA, Technology , Information Technology Services,Accelya Solutions India Limited,0.456708
ACE, Industrials , Farm & Heavy Construction Machinery,Action Construction Equipment Limited,1.406006
ADANIENT, Energy , Thermal Coal,Adani Enterprises Limited,1.236349
ADANIPORTS, Industrials , Marine Shipping,Adani Ports and Special Economic Zone Limited,1.00078
ADANIPOWER, Utilities , Utilities-Independent Power Producers,Adani Power Limited,0.9169259999999999
ADANITRANS, Utilities , Utilities-Regulated Electric,Adani Transmission Limited,1.132577
ADFFOODS, Consumer Defensive , Packaged Foods,ADF Foods Limited,0.887675
ADHUNIKIND, Basic Materials , Steel,Adhunik Industries Limited,1.199297
ADORWELD, Industrials , Specialty Industrial Machinery,Ador Welding Limited,0.6953969999999999
ADROITINFO, Technology , Information Technology Services,Adroit Infotech Limited,0.638845
ADSL, Technology , Information Technology Services,Allied Digital Services Limited,0.095553
ADVANIHOTR, Consumer Cyclical , Lodging,Advani Hotels & Resorts (India) Limited,0.9855689999999999
ADVENZYMES, Basic Materials , Specialty Chemicals,Advanced Enzyme Technologies Limited,0.106099
AEGISCHEM, Energy , Oil & Gas Midstream,Aegis Logistics Limited,0.596333
AGARIND, Basic Materials , Specialty Chemicals,Agarwal Industrial Corporation Limited,0.6934469999999999
AGCNET, Technology , Software-Application,AGC Networks Limited,0.726599
AGROPHOS, Basic Materials , Agricultural Inputs,Agro Phos India Limited,2.67965
AHLEAST, Consumer Cyclical , Lodging,Asian Hotels (East) Limited,0.9403269999999999
AHLUCONT, Industrials , Engineering & Construction,Ahluwalia Contracts (India) Limited,0.625195
AHLWEST, Consumer Cyclical , Lodging,Asian Hotels (West) Limited,0.283931
AIAENG, Industrials , Specialty Industrial Machinery,AIA Engineering Limited,0.7172379999999999
AIONJSW, Basic Materials , Steel,Monnet Ispat & Energy Limited,1.407956
AIRAN, Technology , Information Technology Services,Airan Limited,0.908999
AJANTPHARM, Healthcare , Drug Manufacturers-Specialty & Generic,Ajanta Pharma Limited,0.0066300000000000005
AJMERA, Real Estate , Real Estate-Development,Ajmera Realty & Infra India Limited,1.201638
AKASH, Industrials , Engineering & Construction,Akash Infra-Projects Limited,0.277367
AKSHARCHEM, Basic Materials , Specialty Chemicals,AksharChem India Limited,1.090873
AKSHOPTFBR, Technology , Communication Equipment,Aksh Optifibre Limited,1.207878
AKZOINDIA, Basic Materials , Specialty Chemicals,Akzo Nobel India Limited,0.199687
ALANKIT, Technology , Information Technology Services,Alankit Limited,0.949687
ALBERTDAVD, Healthcare , Drug Manufacturers-Specialty & Generic,Albert David Limited,0.454758
ALCHEM, Industrials , Conglomerates,Alchemist Limited,-0.22425799999999999
ALEMBICLTD, Industrials , Conglomerates,Alembic Limited,1.052652
ALICON, Industrials , Metal Fabrication,Alicon Castalloy Limited,0.9169259999999999
ALKALI, Basic Materials , Specialty Chemicals,Alkali Metals Limited,1.286271
ALKEM, Healthcare , Drug Manufacturers-Specialty & Generic,Alkem Laboratories Limited,0.350222
ALKYLAMINE, Basic Materials , Specialty Chemicals,Alkyl Amines Chemicals Limited,0.8085019999999999
ALLCARGO, Industrials , Integrated Freight & Logistics,Allcargo Logistics Limited,0.8970349999999999
ALLSEC, Industrials , Specialty Business Services,Allsec Technologies Limited,0.643915
ALMONDZ, Financial Services , Capital Markets,Almondz Global Securities Limited,0.11856399999999999
ALOKINDS, Consumer Cyclical , Textile Manufacturing,Alok Industries Limited,0.348283
ALPA, Healthcare , Drug Manufacturers-Specialty & Generic,Alpa Laboratories Limited,0.863494
ALPHAGEO, Energy , Oil & Gas Equipment & Services,Alphageo (India) Limited,0.950078
ALPSINDUS, Consumer Cyclical , Textile Manufacturing,Alps Industries Limited,0.622074
AMARAJABAT, Consumer Cyclical , Auto Parts,Amara Raja Batteries Limited,0.397815
AMBER, Technology , Consumer Electronics,Amber Enterprises India Limited,0.100203
AMBIKCO, Consumer Cyclical , Textile Manufacturing,Ambika Cotton Mills Limited,0.9219959999999999
AMBUJACEM, Basic Materials , Building Materials,Ambuja Cements Limited,0.7808109999999999
AMDIND, Consumer Cyclical , Packaging & Containers,AMD Industries Limited,1.035101
AMJLAND, Real Estate , Real Estate-Development,Amj Land Holdings Limited,0.5226200000000001
AMRUTANJAN, Healthcare , Drug Manufacturers-Specialty & Generic,Amrutanjan Health Care Limited,0.635725
ANANTRAJ, Real Estate , Real Estate-Development,Anant Raj Limited,0.748049
ANDHRACEMT, Basic Materials , Building Materials,Andhra Cements Limited,1.144305
ANDHRAPAP, Basic Materials , Paper & Paper Products,ANDHRA PAPER LIMITED,0.7667700000000001
ANDHRSUGAR, Basic Materials , Chemicals,The Andhra Sugars Limited,1.144695
ANIKINDS, Consumer Defensive , Food Distribution,Anik Industries Limited,0.493759
ANKITMETAL, Basic Materials , Steel,Ankit Metal & Power Limited,0.368954
ANSALAPI, Real Estate , Real Estate-Development,Ansal Properties & Infrastructure Limited,1.386895
ANSALHSG, Real Estate , Real Estate-Development,Ansal Housing Limited,1.279251
APARINDS, Industrials , Electrical Equipment & Parts,Apar Industries Limited,0.297191
APCL, Basic Materials , Building Materials,Anjani Portland Cement Limited,1.00507
APCOTEXIND, Basic Materials , Specialty Chemicals,Apcotex Industries Limited,0.607254
APEX, Consumer Defensive , Farm Products,Apex Frozen Foods Limited,1.230375
APLAPOLLO, Basic Materials , Steel,APL Apollo Tubes Limited,0.8997649999999999
APLLTD, Healthcare , Drug Manufacturers-Specialty & Generic,Alembic Pharmaceuticals Limited,0.487129
APOLLO, Industrials , Aerospace & Defense,Apollo Micro Systems Limited,1.7547549999999998
APOLLOHOSP, Healthcare , Medical Care Facilities,Apollo Hospitals Enterprise Limited,0.20943799999999999
APOLLOPIPE, Industrials , Building Products & Equipment,Apollo Pipes Limited,1.297191
APOLLOTYRE, Consumer Cyclical , Auto Parts,Apollo Tyres Limited,0.8502339999999999
APOLSINHOT, Consumer Cyclical , Lodging,Apollo Sindoori Hotels Limited,0.607254
APTECHT, Consumer Defensive , Education & Training Services,Aptech Limited,1.040171
ARCHIDPLY, Basic Materials , Lumber & Wood Production,Archidply Industries Limited,0.776521
ARCHIES, Consumer Cyclical , Specialty Retail,Archies Limited,0.9703579999999999
ARCOTECH, Industrials , Metal Fabrication,Arcotech Limited,1.076833
ARENTERP, Basic Materials , Other Industrial Metals & Mining,Rajdarshan Industries Limited,-0.192667
ARIES, Basic Materials , Agricultural Inputs,Aries Agro Limited,1.146255
ARIHANT, Real Estate , Real Estate-Development,Arihant Foundations & Housing Limited,0.5538219999999999
ARIHANTSUP, Real Estate , Real Estate-Development,Arihant Superstructures Limited,0.608034
ARMANFIN, Financial Services , Credit Services,Arman Financial Services Limited,0.5362709999999999
AROGRANITE, Industrials , Building Products & Equipment,Aro Granite Industries Limited,0.906006
ARROWGREEN, Consumer Cyclical , Packaging & Containers,Arrow Greentech Limited,0.9418869999999999
ARSHIYA, Industrials , Integrated Freight & Logistics,Arshiya Limited,1.957878
ARSSINFRA, Industrials , Infrastructure Operations,ARSS Infrastructure Projects Limited,1.322932
ARVIND, Consumer Cyclical , Textile Manufacturing,Arvind Limited,0.50585
ARVSMART, Real Estate , Real Estate-Development,Arvind SmartSpaces Limited,0.30098199999999997
ASAHIINDIA, Consumer Cyclical , Auto Parts,Asahi India Glass Limited,0.775741
ASAHISONG, Basic Materials , Specialty Chemicals,Asahi Songwon Colors Limited,1.410686
ASAL, Consumer Cyclical , Auto Parts,Automotive Stampings and Assemblies Limited,0.794071
ASALCBR, Consumer Defensive , Beverages-Wineries & Distilleries,Associated Alcohols & Breweries Ltd.,0.35803399999999996
ASHAPURMIN, Basic Materials , Other Industrial Metals & Mining,Ashapura Minechem Limited,0.839703
ASHIANA, Real Estate , Real Estate-Development,Ashiana Housing Limited,0.9676279999999999
ASHIMASYN, Consumer Cyclical , Textile Manufacturing,Ashima Limited,0.9411069999999999
ASHOKA, Industrials , Engineering & Construction,Ashoka Buildcon Limited,0.9914189999999999
